代號,股名,市場類型,符合類型,營收YoY,季EPS,季EPS YoY,近四季EPS,毛利率,季ROE,近四季ROE,本益比,股價淨值比,殖利率,負債比,營運現金流(億),自由現金流(億),每股淨值,淨值(億),股本(億),營收年月,財報季度,掃描月份,最後掃描時間,當日掃描次數
1101,台泥,上市,不符合,-3.7%,0.1,42.9%,-1.58,18.7%,0.2%,-3.7%,0.0,0.59,4.1%,49.0%,33.58,73.88,40.51,3047.46,752.32,2026-05,2026Q1,2026-05,2026-05-22 20:51:52,1
1102,亞泥,上市,不符合,-9.3%,0.56,36.6%,3.15,13.0%,1.0%,5.3%,10.9,0.61,6.4%,39.1%,17.51,26.87,56.66,2009.46,354.66,2026-05,2026Q1,2026-05,2026-05-17 23:15:05,1
1103,嘉泥,上市,不符合,-23.6%,0.08,-38.5%,0.79,21.1%,0.3%,2.6%,16.39,0.55,4.3%,42.8%,1.6,-0.75,23.71,187.4,79.02,2026-05,2026Q1,2026-05,2026-05-17 22:08:32,1
1108,幸福,上市,價值,-21.4%,0.16,-50.0%,2.17,13.8%,1.1%,16.1%,6.71,1.02,5.2%,43.4%,2.26,2.13,14.22,57.56,40.47,2026-05,2025Q4,2026-05,2026-05-11 07:56:02,1
1109,信大,上市,不符合,-21.6%,0.23,-23.3%,1.03,14.6%,0.8%,3.7%,15.05,0.51,5.8%,10.1%,4.03,-2.04,30.14,102.82,34.12,2026-05,2025Q4,2026-05,2026-05-11 14:37:01,1
1201,味全,上市,不符合,-3.4%,0.2,-9.1%,0.38,27.4%,1.3%,2.5%,32.24,0.8,4.1%,57.8%,0.03,-4.57,15.38,77.84,50.61,2026-05,2026Q1,2026-05,2026-05-13 21:11:12,1
1210,大成,上市,不符合,5.0%,1.66,30.7%,4.32,15.4%,4.2%,12.3%,12.29,1.34,5.3%,53.4%,15.3,-2.9,39.64,354.69,89.48,2026-04,2025Q4,2026-04,2026-04-26 14:28:05,1
1215,卜蜂,上市,不符合,-2.9%,1.26,-47.1%,9.28,17.7%,3.4%,25.3%,15.41,3.82,4.9%,66.1%,9.46,-6.45,37.44,110.36,29.48,2026-05,2026Q1,2026-05,2026-05-22 21:58:26,1
1218,泰山,上市,不符合,6.4%,0.32,-13.5%,1.54,17.1%,1.3%,6.1%,11.98,0.74,7.3%,15.0%,3.78,1.76,24.98,124.89,50.0,2026-05,2026Q1,2026-05,2026-05-17 22:08:32,1
1219,福壽,上市,不符合,1.2%,0.2,17.6%,0.45,9.7%,1.5%,-0.0%,29.56,0.99,3.8%,52.3%,2.02,0.84,13.47,45.97,34.12,2026-05,2025Q4,2026-05,2026-05-11 14:37:01,1
1220,台榮,上市,不符合,12.9%,-0.05,-141.7%,0.08,8.2%,-0.3%,1.7%,153.13,0.85,5.7%,27.4%,-1.01,-1.37,14.47,25.62,17.71,2026-05,2025Q4,2026-05,2026-05-11 07:56:02,1
1231,聯華食,上市,不符合,1.0%,1.0,117.4%,4.47,21.7%,3.9%,18.4%,19.26,3.39,1.9%,51.0%,-0.01,-4.09,25.37,75.73,29.85,2026-05,2026Q1,2026-05,2026-05-13 21:11:12,1
1233,天仁,上市,不符合,3.9%,0.2,-20.0%,0.75,60.2%,1.3%,4.8%,38.13,1.91,3.3%,38.3%,0.79,0.59,14.98,13.57,9.06,2026-04,2025Q4,2026-04,2026-04-26 14:28:05,1
1268,漢來美食,上櫃,不符合,19.8%,5.87,33.7%,11.6,48.9%,9.7%,19.6%,13.66,2.62,4.7%,64.5%,2.47,0.04,60.46,25.53,4.22,2026-04,2026Q1,2026-05,2026-05-10 23:41:13,1
1316,上曜,上市,不符合,111.2%,0.22,146.8%,-0.52,30.6%,0.6%,6.8%,0.0,0.31,0.0%,45.7%,-0.15,-16.64,36.55,134.72,36.85,2026-04,2025Q4,2026-05,2026-05-11 11:54:31,1
1341,富林-KY,上市,不符合,18.1%,1.62,29.6%,4.08,25.1%,7.2%,17.7%,15.02,2.73,6.9%,46.0%,0.5,1.58,22.45,11.87,5.29,2026-05,2026Q1,2026-05,2026-05-22 20:51:52,1
1342,八貫,上市,不符合,44.5%,2.08,16.2%,5.9,27.2%,7.8%,21.8%,15.8,3.47,6.4%,44.9%,0.86,0.47,26.82,20.92,7.8,2026-05,2026Q1,2026-05,2026-05-17 22:08:32,1
1343,旭東環保,興櫃,不符合,100.2%,-1.97,-15.9%,5.42,22.0%,-17.9%,23.2%,3.8,1.87,7.3%,64.2%,-0.46,-0.64,11.0,4.46,4.05,2026-05,2025Q4,2026-05,2026-05-22 21:58:26,1
1402,遠東新,上市,不符合,14.3%,0.61,32.6%,1.69,21.9%,1.0%,5.5%,15.65,0.44,6.0%,52.4%,75.4,58.93,60.45,3235.78,535.29,2026-05,2026Q1,2026-05,2026-05-17 23:15:05,1
1414,東和,上市,不符合,-2.6%,0.06,400.0%,0.27,11.1%,0.4%,2.0%,58.89,1.1,1.3%,31.0%,0.46,-0.08,14.5,28.7,19.8,2026-05,2026Q1,2026-05,2026-05-13 21:11:12,1
1416,廣豐,上市,不符合,32.2%,0.16,23.1%,0.8,43.1%,0.7%,3.7%,14.31,0.48,4.9%,27.0%,0.61,-0.83,24.02,44.53,18.53,2026-04,2025Q4,2026-04,2026-04-26 14:28:05,1
1432,大魯閣,上市,不符合,-42.8%,6.39,2382.1%,6.03,34.8%,37.4%,42.4%,2.79,0.99,0.0%,57.7%,-3.51,5.39,17.09,18.46,10.8,2026-04,2025Q4,2026-05,2026-05-11 11:54:31,1
1434,福懋,上市,不符合,-5.1%,0.2,81.8%,0.6,11.2%,0.7%,2.5%,26.42,0.59,5.0%,25.7%,-1.2,-4.31,26.96,454.19,168.47,2026-05,2026Q1,2026-05,2026-05-10 23:41:13,1
1435,中福,上市,不符合,0.0%,-0.08,27.3%,-0.38,64.1%,-1.1%,-5.1%,0.0,0.0,0.0%,15.8%,-0.07,-0.08,7.03,9.82,13.98,2026-05,2026Q1,2026-05,2026-05-22 20:51:52,1
1447,力鵬,上市,不符合,27.8%,-0.36,-800.0%,-0.97,1.6%,-4.0%,-9.3%,0.0,0.54,0.0%,48.1%,2.79,3.49,9.09,82.68,91.01,2026-05,2025Q4,2026-05,2026-05-13 22:19:05,1
1449,佳和,上市,不符合,75.5%,-0.23,-227.8%,-0.28,10.1%,-1.0%,5.5%,0.0,0.54,0.0%,63.7%,-0.22,-1.86,23.25,29.56,12.71,2026-05,2026Q1,2026-05,2026-05-22 20:51:52,1
1451,年興,上市,不符合,-4.1%,0.47,-64.9%,0.89,16.5%,1.3%,2.4%,18.76,0.45,6.0%,16.5%,1.68,1.05,37.06,73.37,19.8,2026-05,2026Q1,2026-05,2026-05-22 21:58:26,1
1452,宏益,上市,不符合,12.0%,-0.09,0.0%,-0.41,3.3%,-0.4%,-2.1%,0.0,0.56,4.5%,5.8%,-0.61,-0.32,20.0,26.53,13.26,2026-05,2026Q1,2026-05,2026-05-11 07:56:02,1
1455,集盛,上市,不符合,-3.1%,-0.05,77.3%,-0.81,2.1%,-0.5%,-7.3%,0.0,0.75,0.0%,38.8%,0.62,-0.38,10.81,57.48,53.17,2026-05,2026Q1,2026-05,2026-05-13 21:11:12,1
1463,強盛新,上市,不符合,-0.3%,-0.65,-121.5%,0.14,-148.3%,-4.1%,1.8%,128.21,1.14,11.7%,12.9%,4.13,4.04,15.76,27.31,17.33,2026-04,2025Q4,2026-04,2026-04-26 14:28:05,1
1463,強盛新,上市,不符合,34.5%,-0.01,-102.0%,-0.37,17.1%,-0.1%,-2.0%,0.0,1.13,11.8%,13.0%,-0.16,0.04,15.79,27.37,17.33,2026-05,2026Q1,2026-05,2026-05-17 22:08:32,1
1465,偉全,上市,不符合,-12.1%,0.27,-20.6%,-0.4,2.4%,1.8%,-2.5%,0.0,0.8,5.0%,9.6%,-0.01,0.01,15.15,15.7,10.36,2026-05,2026Q1,2026-05,2026-05-22 20:51:52,1
1466,聚隆,上市,不符合,-17.5%,0.17,13.3%,-1.05,12.6%,1.1%,-7.2%,0.0,0.97,0.0%,53.9%,-0.26,-1.52,14.95,16.61,11.12,2026-05,2026Q1,2026-05,2026-05-13 22:19:05,1
1467,南緯,上市,不符合,27.5%,0.11,450.0%,-0.37,19.8%,0.9%,-3.2%,0.0,0.55,0.0%,66.1%,-0.34,-0.48,12.86,30.05,23.36,2026-05,2026Q1,2026-05,2026-05-17 23:15:05,1
